discount,conversion,source,total_pages_visited,visit_duration,country
no,no,direct,3,179.97434514838557,uk
no,no,direct,9,537.6129431032901,germany
no,no,direct,2,121.3002177174873,france
no,no,direct,1,60.75172378218416,uk
no,no,direct,2,118.43397416592133,germany
no,no,direct,5,303.45869575853794,ireland
no,no,direct,4,236.03329385465287,uk
no,no,direct,7,412.12737936069925,germany
no,no,direct,5,296.93873353938034,uk
no,no,direct,5,305.3175781322702,uk
no,no,direct,4,236.59597790746608,uk
no,no,direct,5,294.08250841863446,uk
no,no,direct,6,368.90297093894605,france
no,no,direct,6,362.3324525818918,uk
no,no,direct,9,538.8453773411452,uk
no,no,direct,4,239.69272204489081,uk
no,no,direct,3,184.284693434134,uk
no,no,direct,3,178.41716103402263,france
no,no,direct,1,60.19109657073937,germany
no,no,direct,2,118.0698787144174,germany
no,no,direct,6,358.3116740181211,france
no,no,direct,2,123.58530795624033,germany
no,no,direct,3,184.55390400632064,uk
no,no,direct,1,59.30932643920561,uk
no,no,direct,3,184.46412998756148,uk
no,no,direct,5,301.1408922392507,uk
no,no,direct,6,356.41980003916797,ireland
no,no,direct,4,238.11519619720127,uk
no,no,direct,3,176.08516907433528,germany
no,no,direct,3,179.20585046521,germany
no,no,direct,2,118.03555855154134,germany
no,no,direct,3,178.8533186295664,uk
no,no,direct,4,238.29693411927406,germany
no,no,direct,2,123.38130131791769,germany
no,no,direct,4,238.66439875710944,uk
no,no,direct,2,118.16982205787376,germany
no,no,direct,4,237.3035977029584,uk
no,no,direct,3,181.54869425682256,uk
no,no,direct,5,299.41839345557776,germany
no,no,direct,3,178.95469424446736,france
no,no,direct,3,176.15451375282214,germany
no,no,direct,4,240.86740996984295,germany
no,no,direct,5,299.4471323340213,germany
no,no,direct,2,120.29867010889079,ireland
no,no,direct,3,179.90110043112247,ireland
no,no,direct,3,179.5945536558272,france
no,no,direct,5,305.5462818493088,germany
no,no,direct,2,120.72890171880204,germany
no,no,direct,6,361.82465389945173,uk
no,no,direct,5,304.69184218147933,germany
no,no,direct,5,304.39994352696675,ireland
no,no,direct,4,239.58297241821214,uk
no,no,direct,3,176.71111968336456,germany
no,no,direct,4,237.48306529521764,germany
no,no,direct,6,353.8145882284359,germany
no,no,direct,4,232.3825535970439,france
no,no,direct,6,353.5173103584805,france
no,no,direct,3,186.0405591288789,france
no,no,direct,5,299.11381708974056,germany
no,no,direct,3,179.9673760819924,uk
no,no,direct,4,237.13155868386193,germany
no,no,direct,4,234.3077492730736,uk
no,no,direct,3,179.54503568868134,france
no,no,direct,4,240.9253036436415,germany
no,no,direct,7,421.4519576638401,ireland
no,no,direct,7,424.7581217074489,france
no,no,direct,3,179.70677908190174,germany
no,no,direct,3,178.48983810096098,france
no,no,direct,9,546.3000852410446,uk
no,no,direct,4,241.08693897379445,ireland
no,no,direct,7,413.73339825626545,uk
no,no,direct,4,238.62022941562722,uk
no,no,direct,3,177.85828784195851,uk
no,no,direct,5,300.169832236214,france
no,no,direct,2,118.02067214224876,ireland
no,no,direct,4,240.80149317944898,uk
no,no,direct,3,179.08026208273952,uk
no,no,direct,8,486.8673433719526,france
no,no,direct,4,236.92422068375598,uk
no,no,direct,4,234.53521827856125,uk
no,no,direct,3,176.10570481949443,germany
no,no,direct,6,363.18664009673904,germany
no,no,direct,3,177.57567416792017,uk
no,no,direct,3,178.62884120322178,ireland
no,no,direct,2,121.27442549703068,germany
no,no,direct,2,119.1029451080837,germany
no,no,direct,4,238.3907103319932,germany
no,no,direct,3,181.64884125152687,france
no,no,direct,2,120.18267953587976,france
no,no,direct,5,298.74142169254367,germany
no,no,direct,1,61.24374673592123,france
no,no,direct,5,303.89608133262277,germany
no,no,direct,3,181.20692866098582,france
no,no,direct,3,178.89365146609052,ireland
no,no,direct,6,357.31623721729017,germany
no,no,direct,7,422.7563417095895,france
no,no,direct,3,177.7175017130423,uk
no,no,direct,8,479.5456200388189,uk
no,no,direct,5,300.3332616679632,uk
no,no,direct,5,298.00536287645747,germany
no,no,direct,1,60.959027305939266,germany
no,no,direct,3,175.89904641306282,france
no,no,direct,4,229.7233455475727,france
no,no,direct,4,238.48361769599126,france
no,no,direct,5,307.862761197958,uk
no,no,direct,7,415.5210133595898,uk
no,no,direct,4,242.90675285607227,germany
no,no,direct,3,185.06369176637466,ireland
no,no,direct,4,238.68566865919604,ireland
no,no,direct,1,60.778343691868734,germany
no,no,direct,3,182.25454635358835,france
no,no,direct,3,183.18348153459826,germany
no,no,direct,2,122.66322167693812,ireland
no,no,direct,6,368.58407457275933,france
no,no,direct,2,122.70503052395432,france
no,no,direct,6,354.8307756501243,ireland
no,no,direct,4,237.92268716446216,france
no,no,direct,5,299.20833421363943,germany
no,no,direct,2,122.29511902810984,germany
no,no,direct,5,304.93418861228474,germany
no,no,direct,3,178.02768527493248,uk
no,no,direct,5,300.17611965646984,uk
no,no,direct,3,174.99383534606756,ireland
no,no,direct,8,483.00438974953363,germany
no,no,direct,8,479.6286061116051,uk
no,no,direct,5,303.7932108159183,germany
no,no,direct,3,179.60262032410358,ireland
no,no,direct,2,123.46207928194399,uk
no,no,direct,4,241.39908316492748,germany
no,no,direct,3,181.18845385749597,ireland
no,no,direct,4,238.44218060421528,uk
no,no,direct,6,370.43230157005183,uk
no,no,direct,2,120.60222945822392,germany
no,no,direct,3,178.20228656002172,germany
no,no,direct,4,237.31921406204538,uk
no,no,direct,6,352.43137261642147,germany
no,no,direct,7,430.15324863921865,france
no,no,direct,6,352.8943641965543,germany
no,no,direct,5,304.3523275330106,germany
no,no,direct,8,489.1998699059498,uk
no,no,direct,4,240.66193598184066,uk
no,no,direct,4,244.50473531054234,uk
no,no,direct,3,179.1561407845726,france
no,no,direct,3,177.99909346608473,germany
no,no,direct,1,60.33766528493528,ireland
no,no,direct,4,239.7948741461769,uk
no,no,direct,6,354.1490710761034,germany
no,no,direct,1,60.224902872960286,uk
no,no,direct,1,60.76779522591904,germany
no,no,direct,2,120.93479305256939,france
no,no,direct,5,304.26341535954475,uk
no,no,direct,5,295.61500942939267,germany
no,no,direct,8,472.5169443613948,uk
no,no,direct,4,233.75179967523272,germany
no,no,direct,1,60.23389205486728,germany
no,no,direct,5,309.88156927569895,ireland
no,no,direct,5,298.5485117607933,germany
no,no,direct,2,124.08023319821339,uk
no,no,direct,3,180.54803506674625,uk
no,no,direct,2,117.47454977403058,france
no,no,direct,1,61.428457750944645,uk
no,no,direct,3,180.03822398406078,germany
no,no,direct,1,59.62354986316612,germany
no,no,direct,2,120.14178385011412,france
no,no,direct,1,57.855234444028525,germany
no,no,direct,5,301.2074673769747,uk
no,no,direct,3,179.8028804262314,germany
no,no,direct,2,117.71773142916759,uk
no,no,direct,1,60.91166888219417,germany
no,no,direct,6,355.96841405819293,france
no,no,direct,5,295.95003921737765,france
no,no,direct,6,368.8470219139227,uk
no,no,direct,9,533.5031744598192,france
no,no,direct,2,123.28665175161996,france
no,no,direct,2,117.85287365181422,uk
no,no,direct,6,364.7282889330816,germany
no,no,direct,5,301.8502190833359,uk
no,no,direct,1,57.52878805460766,france
no,no,direct,5,294.41415321878935,uk
no,no,direct,5,301.16275209446366,france
no,no,direct,5,290.5476292433617,germany
no,no,direct,4,242.89413384703062,uk
no,no,direct,2,119.90139442448108,ireland
no,no,direct,1,61.2405630995274,uk
no,no,direct,4,237.5805082483769,ireland
no,no,direct,4,241.13168602040113,uk
no,no,direct,3,182.6841009224464,germany
no,no,direct,4,242.62379101581303,germany
no,no,direct,5,300.4617389764041,ireland
no,no,direct,1,59.096220237467136,france
no,no,direct,3,177.8547987320183,germany
no,no,direct,6,357.2186027182115,uk
no,no,direct,6,367.44262894967784,uk
no,no,direct,2,121.73750802092033,germany
no,no,direct,3,181.14965985281628,france
no,no,direct,6,359.7236244967783,germany
no,no,direct,6,354.2588698120638,uk
no,no,direct,3,176.72798933892614,germany
no,no,direct,2,118.83641600178635,uk
no,no,direct,5,303.16266235433346,uk
no,no,direct,2,117.52560825862022,uk
no,no,direct,1,59.815805870909536,uk
no,no,direct,12,717.5407355770071,uk
no,no,direct,1,60.31782384904657,uk
no,no,direct,3,176.0659586952881,germany
no,no,direct,7,410.1579730954476,germany
no,no,direct,4,243.0899311218653,uk
no,no,direct,3,181.85212162156455,uk
no,no,direct,5,299.43832298775544,france
no,no,direct,6,359.6653001231759,germany
no,no,direct,3,180.64958490736325,uk
no,no,direct,4,240.19178150725233,france
no,no,direct,5,300.8752018559778,germany
no,no,direct,5,293.19443639389544,france
no,no,direct,5,295.8641352310601,germany
no,no,direct,8,472.2519760883775,france
no,no,direct,3,181.00616877114575,ireland
no,no,direct,2,118.82866059169542,france
no,no,direct,4,239.13003576826856,uk
no,no,direct,2,123.51233746463414,uk
no,no,direct,4,242.25925606331873,uk
no,no,direct,3,182.51960126677307,ireland
no,no,direct,9,537.7372346025136,france
no,no,direct,3,182.05834519707645,france
no,no,direct,2,123.19419467930685,france
no,no,direct,4,240.33735683059982,germany
no,no,direct,2,117.75396713958457,germany
no,no,direct,8,482.32730665160204,france
no,no,direct,4,238.95270610925985,ireland
no,no,direct,2,119.37435966924882,uk
no,no,direct,4,229.05406035683225,ireland
no,no,direct,9,525.9474346086485,germany
no,no,direct,5,295.1564175523704,france
no,no,direct,3,175.078868573183,uk
no,no,direct,3,181.11667478685558,germany
no,no,direct,6,360.7915082212817,ireland
no,no,direct,2,117.03172029516442,uk
no,no,direct,2,119.00699127632356,germany
no,no,direct,7,429.15198209283915,uk
no,no,direct,3,178.88043912654695,uk
no,no,direct,3,178.0614541829434,uk
no,no,direct,5,295.7275299658061,france
no,no,direct,2,119.78596050491203,germany
no,no,direct,1,58.49692666504615,ireland
no,no,direct,3,177.5394684916285,ireland
no,no,direct,4,237.5368384333297,uk
no,no,direct,3,182.12274990571052,germany
no,no,direct,3,183.634132613514,france
no,no,direct,6,369.44927271024596,uk
no,no,direct,4,235.80417675849898,france
no,no,direct,4,235.54546439677085,ireland
no,no,direct,8,497.8740150122243,france
no,no,direct,5,295.8881985531408,germany
no,no,direct,2,117.87177128066321,germany
no,no,direct,3,179.6922044335188,germany
no,no,direct,8,501.3445782629124,uk
no,no,direct,4,239.96154730475902,germany
no,no,direct,5,305.30416602626474,germany
no,no,direct,3,179.69942020927147,ireland
no,no,direct,5,301.43931110596577,germany
no,no,direct,4,236.98311384741484,uk
no,no,direct,7,421.2968047212607,france
no,no,direct,2,119.94749206080965,ireland
no,no,direct,3,174.17582210818009,uk
no,no,direct,2,123.22971259638915,germany
no,no,direct,2,119.0835546124931,uk
no,no,direct,8,493.56524771669194,ireland
no,no,direct,3,178.15407654423535,france
no,no,direct,5,303.9710332231277,uk
no,no,direct,6,367.8929739135321,france
no,no,direct,2,118.38608707802989,ireland
no,no,direct,3,177.4059086466723,france
no,no,direct,3,180.4875952689261,france
no,no,direct,2,123.39071474847889,uk
no,no,direct,2,116.97055709880075,uk
no,no,direct,9,547.1718129410883,germany
no,no,direct,9,534.7283246831313,germany
no,no,direct,2,116.14067933218327,uk
no,no,direct,7,423.9108524012929,uk
no,no,direct,4,235.3237073500306,germany
no,no,direct,3,178.42052553508188,uk
no,no,direct,4,245.10881576863915,uk
no,no,direct,5,298.8186363300786,ireland
no,no,direct,1,60.62253656469078,germany
no,no,direct,3,175.03562667786105,ireland
no,no,direct,5,298.1305684767677,germany
no,no,direct,3,180.201446123471,uk
no,no,direct,6,361.10555256321726,uk
no,no,direct,2,120.70215359249295,france
no,no,direct,4,234.26174609860763,uk
no,no,direct,3,179.97685161164495,uk
no,no,direct,2,121.07615499555374,uk
no,no,direct,8,465.53262736243414,germany
no,no,direct,3,178.88706541578287,uk
no,no,direct,4,243.24641594007596,germany
no,no,direct,1,60.56838135418848,uk
no,no,direct,4,234.47223078898762,ireland
no,no,direct,5,296.8770350454156,france
no,no,direct,4,243.35845843303105,uk
no,no,direct,3,179.45283312938994,france
no,no,direct,7,413.2103712236975,ireland
no,no,direct,4,244.20690175401683,france
no,no,direct,3,184.24609733993788,germany
no,no,direct,3,177.98593090816127,uk
no,no,direct,2,123.14652733231605,germany
no,no,direct,6,365.00615030998523,uk
no,no,direct,8,479.64246006143594,germany
no,no,direct,4,239.61777910179174,france
no,no,direct,3,183.07307025104552,uk
no,no,direct,10,590.6290971570445,uk
no,no,direct,2,120.5096570006122,germany
no,no,direct,4,244.38013965072332,france
no,no,direct,2,120.76687348350772,france
no,no,direct,4,239.0675204042711,uk
no,no,direct,2,120.56276549707182,uk
no,no,direct,2,119.35199000207967,germany
no,no,direct,3,176.73252622461354,ireland
no,no,direct,4,239.95575696185193,uk
no,no,direct,5,303.64150481662017,france
no,no,direct,2,120.17967999750066,uk
no,no,direct,6,359.4343761542867,germany
no,no,direct,5,300.3002621877981,uk
no,no,direct,5,294.40054468163487,germany
no,no,direct,2,122.94178685018429,france
no,no,direct,3,181.39261233235882,ireland
no,no,direct,5,302.691657494193,germany
no,no,direct,4,247.22288835652296,france
no,no,direct,3,183.67061392517422,ireland
no,no,direct,3,182.73572751709213,france
no,no,direct,1,59.96074461773644,uk
no,no,direct,2,119.19459240618514,uk
no,no,direct,7,428.1014750598165,uk
no,no,direct,6,350.9673722826175,uk
no,no,direct,5,303.6238745558013,germany
no,no,direct,2,121.93118096904999,ireland
no,no,direct,2,121.13547490680504,france
no,no,direct,8,490.15362313259067,uk
no,no,direct,4,231.28542894225768,uk
no,no,direct,4,233.34401347305902,germany
no,no,direct,2,118.86640915355233,germany
no,no,direct,4,237.809592956754,france
no,no,direct,3,181.18078569219531,germany
no,no,direct,2,116.1036401231558,germany
no,no,direct,5,317.0810115713747,france
no,no,direct,3,181.51424314542825,uk
no,no,direct,6,359.0867182191859,france
no,no,direct,2,119.70782706507852,uk
no,no,direct,6,360.9196241790222,uk
no,no,direct,3,176.04979955225863,france
no,no,direct,5,301.9158526329417,france
no,no,direct,5,297.39196890616637,france
no,no,direct,4,237.29828911744178,france
no,no,direct,4,241.8956039046986,uk
no,no,direct,1,58.94802080984944,uk
no,no,direct,2,118.3413040625565,germany
no,no,direct,5,303.57390111538115,germany
no,no,direct,2,119.47541979585176,uk
no,no,direct,6,357.0268913490117,uk
no,no,direct,3,180.13276147932777,uk
no,no,direct,5,295.32803945909365,germany
no,no,direct,7,424.4009406690479,france
no,no,direct,2,117.72064729822948,ireland
no,no,direct,2,119.75856439438583,germany
no,no,direct,5,302.4445375872793,germany
no,no,direct,3,178.7106914071656,uk
no,no,direct,6,366.29797527375547,uk
no,no,direct,8,484.6267860603312,uk
no,no,direct,1,59.172119808758964,france
no,no,direct,4,238.1834733908138,germany
no,no,direct,5,310.38126116262214,germany
no,no,direct,1,61.59237084021473,ireland
no,no,direct,10,622.9666848809367,germany
no,no,direct,3,187.01268313678852,france
no,no,direct,1,60.940917259467525,uk
no,no,direct,5,298.44999007625455,ireland
no,no,direct,6,346.108228016764,ireland
no,no,direct,3,181.152365232624,germany
no,no,direct,3,175.81120093522665,france
no,no,direct,3,179.2747791427593,germany
no,no,direct,1,59.360676804879844,uk
no,no,direct,3,176.65392236007364,uk
no,no,direct,2,122.17278057121496,germany
no,no,direct,4,238.4391988439968,uk
no,no,direct,4,236.10247506275488,ireland
no,no,direct,7,415.81542173023263,uk
no,no,direct,3,179.06767448636097,ireland
no,no,direct,4,241.7201229851337,uk
no,no,direct,1,59.16523905078528,uk
no,no,direct,6,360.63775301602215,germany
no,no,direct,3,179.72746960671674,uk
no,no,direct,5,298.0281596771061,uk
no,no,direct,2,118.82919585936963,uk
no,no,direct,4,233.67392629683997,uk
no,no,direct,5,298.6977568637581,germany
no,no,direct,1,59.9982004577452,germany
no,no,direct,6,363.440424173251,germany
no,no,direct,3,177.82111004333848,germany
no,no,direct,3,178.29838997324754,ireland
no,no,direct,3,178.5009172073777,germany
no,no,direct,1,58.23322154753103,france
no,no,direct,4,239.26145667020106,ireland
no,no,direct,5,302.62446122824474,germany
no,no,direct,7,406.5956962160706,uk
no,no,direct,1,60.91208736664446,france
no,no,direct,9,561.0033975784282,germany
no,no,direct,3,179.57660965059202,ireland
no,no,direct,7,413.02692211663134,ireland
no,no,direct,5,302.32832056791085,ireland
no,no,direct,4,235.28723567660455,germany
no,no,direct,6,368.8229522988421,uk
no,no,direct,1,59.529320057965556,france
no,no,direct,5,301.466701168451,uk
no,no,direct,3,181.18682681819368,france
no,no,direct,6,368.6430034550946,uk
no,no,direct,4,244.6340447878534,france
no,no,direct,3,177.10136955602258,uk
no,no,direct,6,356.1400832698288,france
no,no,direct,2,115.6031014728896,germany
no,no,direct,6,368.9031079297876,ireland
no,no,direct,3,179.2326320090815,france
no,no,direct,5,300.5700751633793,uk
no,no,direct,8,481.6416282515766,ireland
no,no,direct,1,61.49854308760019,france
no,no,direct,6,358.20205138605206,uk
no,no,direct,6,357.7627460990177,uk
no,no,direct,3,175.60661424459738,germany
no,no,direct,3,181.03601110672588,germany
no,no,direct,2,120.05443447644427,ireland
no,no,direct,4,241.06548840616458,uk
no,no,direct,6,347.49056532347663,germany
no,no,direct,4,244.9593830094945,germany
no,no,direct,4,235.54539029179318,germany
no,no,direct,5,291.32234058415304,uk
no,no,direct,4,241.547608843567,germany
no,no,direct,4,236.76874698594227,uk
no,no,direct,1,61.7118944794063,uk
no,no,direct,1,59.63746491344555,germany
no,no,direct,7,412.077427008148,germany
no,no,direct,5,295.5777404781441,ireland
no,no,direct,2,120.44132656942288,germany
no,no,direct,5,306.27111216453864,germany
no,no,direct,5,299.24861317083815,germany
no,no,direct,3,177.40141383668376,uk
no,no,direct,6,357.4857468706107,uk
no,no,direct,4,242.1619384838155,uk
no,no,direct,6,356.5829405783701,germany
no,no,direct,4,239.71818643414696,germany
no,no,direct,7,422.08780177510215,germany
no,no,direct,4,235.67780963677043,uk
no,no,direct,3,181.0477480300521,germany
no,no,direct,8,478.2848676821426,germany
no,no,direct,5,301.1021356035088,germany
no,no,direct,3,177.83601628845332,ireland
no,no,direct,1,59.8336712136174,france
no,no,direct,4,237.7119825195407,uk
no,no,direct,4,235.90327002836,uk
no,no,direct,6,361.31233615984615,france
no,no,direct,6,358.09640514989917,france
no,no,direct,6,344.84412109102027,ireland
no,no,direct,3,181.70856637576637,france
no,no,direct,6,356.0964124379765,germany
no,no,direct,2,120.05829164926344,germany
no,no,direct,3,181.54234464021974,germany
no,no,direct,5,295.03644428690956,uk
no,no,direct,8,465.77951116460866,ireland
no,no,direct,4,237.285209380438,germany
no,no,direct,4,242.0342716046025,france
no,no,direct,1,59.58030298231755,france
no,no,direct,8,471.5003072883582,ireland
no,no,direct,2,122.07971009184257,uk
no,no,direct,1,59.87181558813442,germany
no,no,direct,6,370.52570867660313,germany
no,no,direct,4,243.01962439550832,germany
no,no,direct,3,177.8742414142916,france
no,no,direct,7,421.34727780193833,ireland
no,no,direct,1,58.39077536849602,france
no,no,direct,2,123.43815265906952,ireland
no,no,direct,5,299.0642180578185,germany
no,no,direct,2,120.02834406342613,ireland
no,no,direct,3,178.4650518432066,france
no,no,direct,2,119.5292939979258,uk
no,no,direct,6,353.53032635229454,uk
no,no,direct,2,119.2110113889506,uk
no,no,direct,6,362.2701082101052,uk
no,no,direct,3,179.08367493359893,uk
no,no,direct,3,181.6747402752245,uk
no,no,direct,5,293.03233837143875,ireland
no,no,direct,2,123.36975565477087,uk
no,no,direct,1,58.918834759962515,france
no,no,direct,10,593.008829947271,uk
no,no,direct,4,237.0963773903785,uk
no,no,direct,5,292.4129109848085,uk
no,no,direct,7,415.1885781282923,uk
no,no,direct,5,305.6920431079848,uk
no,no,direct,9,532.5465900469911,uk
no,no,direct,1,58.2357518844999,france
no,no,direct,7,417.23740238802054,france
no,no,direct,6,364.0811413165315,france
no,no,direct,5,308.37356694577875,ireland
no,no,direct,3,175.13356405574802,france
no,no,direct,1,58.860697775864395,uk
no,no,direct,3,178.04093813619752,germany
no,no,direct,3,183.77948746362898,germany
no,no,direct,6,350.0525167379175,germany
no,no,direct,3,179.38454685277853,germany
no,no,direct,3,181.41370078990792,uk
no,no,direct,5,300.634653028555,germany
no,no,direct,6,364.66076118832535,uk
no,no,direct,4,241.85506627989523,ireland
no,no,direct,5,305.609282268533,france
no,no,direct,2,120.57550927079522,uk
no,no,direct,2,118.11401726685133,uk
no,no,direct,8,469.38971662023596,ireland
no,no,direct,5,295.8445511013173,france
no,no,direct,6,365.2239014706064,france
no,no,direct,3,186.66092516522286,uk
no,no,direct,4,237.9283030017242,france
no,no,direct,6,361.0563444522354,uk
no,no,direct,6,359.5236334475949,uk
no,no,direct,3,181.39337335547208,france
no,no,direct,1,58.77116536574758,france
no,no,direct,4,236.69154198846155,uk
no,no,direct,5,297.7867498071732,uk
no,no,direct,1,60.56344118143295,germany
no,no,direct,3,189.13558680912502,uk
no,no,direct,4,242.5220893615404,france
no,no,direct,5,288.5636121465479,germany
no,no,direct,7,406.2573031828207,uk
no,no,direct,4,237.64845438752928,germany
no,no,direct,4,242.64331608059425,uk
no,no,direct,5,302.8772627204547,uk
no,no,direct,6,355.6021160244084,germany
no,no,direct,7,424.528872814515,uk
no,no,direct,1,59.69578608018859,germany
no,no,direct,4,241.91589848004347,germany
no,no,direct,3,177.959375483909,germany
no,no,direct,6,366.1257423827873,germany
no,no,direct,6,361.26825339998413,uk
no,no,direct,2,125.11359615890109,uk
no,no,direct,5,298.2135765228661,ireland
no,no,direct,2,122.59286107222046,germany
no,no,direct,1,59.89390382924161,germany
no,no,direct,7,407.4773141046101,germany
no,no,direct,2,122.61270772164757,ireland
no,no,direct,5,301.3397868228242,france
no,no,direct,2,120.09229730170395,germany
no,no,direct,1,60.881654738387645,germany
no,no,direct,4,233.91409945862773,france
no,no,direct,1,58.925906618852935,germany
no,no,direct,3,182.35229583190687,ireland
no,no,direct,3,176.02239322360967,germany
no,no,direct,4,236.36611667003376,ireland
no,no,direct,6,360.55443175178794,uk
no,no,direct,2,118.72533052991656,uk
no,no,direct,4,241.68098336905533,germany
no,no,direct,4,238.2184721797522,uk
no,no,direct,5,299.9721351392887,france
no,no,direct,5,299.5235417605644,uk
no,no,direct,6,368.75244488683734,france
no,no,direct,6,358.6472374585479,uk
no,no,direct,8,484.3152432311841,germany
no,no,direct,4,243.65768807082716,ireland
no,no,direct,4,243.39962870305285,germany
no,no,direct,2,122.33532062844112,germany
no,no,direct,4,243.49020309043283,uk
no,no,direct,3,172.234728590889,uk
no,no,direct,1,59.385857336389144,germany
no,no,direct,5,303.69747794471107,germany
no,no,direct,4,240.26294287976089,uk
no,no,direct,2,118.42061446161884,germany
no,no,direct,3,178.8536484198268,uk
no,no,direct,4,237.8302955823632,france
no,no,direct,2,119.00011048866654,uk
no,no,direct,2,124.99981029785316,france
no,no,direct,3,181.03737525264762,germany
no,no,direct,3,178.53014832513475,france
no,no,direct,6,366.2708964082882,uk
